Study_ID		Processed
"Braineac2_1_ge": 	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Braineac2/ge/Braineac2_ge_putamen.all.tsv.gz",
"Braineac2_1_iu": 	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Braineac2/tx/Braineac2_tx_putamen.all.tsv.gz",
"Braineac2_2_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Braineac2/ge/Braineac2_ge_substantia_nigra.all.tsv.gz",
"Braineac2_2_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Braineac2/tx/Braineac2_tx_substantia_nigra.all.tsv.gz",
"CAP_1_ge": 		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/CAP/ge/CAP_ge_LCL_naive.all.tsv.gz",
"CAP_1_iu": 		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/CAP/tx/CAP_tx_LCL_naive.all.tsv.gz",
"CAP_2_ge": 		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/CAP/ge/CAP_ge_LCL_statin.all.tsv.gz",
"CAP_2_iu": 		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/CAP/tx/CAP_tx_LCL_statin.all.tsv.gz",
"CommonMind_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/CommonMind/ge/CommonMind_ge_DLPFC_naive.all.tsv.gz",
"CommonMind_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/CommonMind/tx/CommonMind_tx_DLPFC_naive.all.tsv.gz",
"FUSION_1_ge": 		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/FUSION/ge/FUSION_ge_adipose_naive.all.tsv.gz",
"FUSION_1_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/FUSION/tx/FUSION_tx_adipose_naive.all.tsv.gz",
"FUSION_2_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/FUSION/ge/FUSION_ge_muscle_naive.all.tsv.gz",
"FUSION_2_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/FUSION/tx/FUSION_tx_muscle_naive.all.tsv.gz",
"GENCORD_1_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/GENCORD/ge/GENCORD_ge_LCL.all.tsv.gz",
"GENCORD_1_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/GENCORD/tx/GENCORD_tx_LCL.all.tsv.gz",
"GENCORD_2_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/GENCORD/ge/GENCORD_ge_T-cell.all.tsv.gz",
"GENCORD_2_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/GENCORD/tx/GENCORD_tx_T-cell.all.tsv.gz",
"GENCORD_3_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/GENCORD/ge/GENCORD_ge_fibroblast.all.tsv.gz",
"GENCORD_3_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/GENCORD/tx/GENCORD_tx_fibroblast.all.tsv.gz",
"GEUVADIS_ge": 		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/GEUVADIS/ge/GEUVADIS_ge_LCL.all.tsv.gz",
"GEUVADIS_tx":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/GEUVADIS/tx/GEUVADIS_tx_LCL.all.tsv.gz",
"HipSci_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/HipSci/ge/HipSci_ge_iPSC.all.tsv.gz",
"HipSci_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/HipSci/tx/HipSci_tx_iPSC.all.tsv.gz",
"Lepik_ge":			"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Lepik_2017/ge/Lepik_2017_ge_blood.all.tsv.gz",
"Lepik_iu":			"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Lepik_2017/tx/Lepik_2017_tx_blood.all.tsv.gz",
"Peng_ge":			"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Peng_2018/ge/Peng_2018_ge_placenta_naive.all.tsv.gz",
"Peng_iu":			"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Peng_2018/tx/Peng_2018_tx_placenta_naive.all.tsv.gz",
"ROSMAP_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/ROSMAP/ge/ROSMAP_ge_brain_naive.all.tsv.gz",
"ROSMAP_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/ROSMAP/tx/ROSMAP_tx_brain_naive.all.tsv.gz",
"Schwartzentruber_ge":"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schwartzentruber_2018/ge/Schwartzentruber_2018_ge_sensory_neuron.all.tsv.gz",
"Schwartzentruber_iu":"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schwartzentruber_2018/tx/Schwartzentruber_2018_tx_sensory_neuron.all.tsv.gz",
"Steinberg_1_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Steinberg_2020/ge/Steinberg_2020_ge_high_grade_cartilage_naive.all.tsv.gz",
"Steinberg_1_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Steinberg_2020/tx/Steinberg_2020_tx_high_grade_cartilage_naive.all.tsv.gz",
"Steinberg_2_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Steinberg_2020/ge/Steinberg_2020_ge_low_grade_cartilage_naive.all.tsv.gz",
"Steinberg_2_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Steinberg_2020/tx/Steinberg_2020_tx_low_grade_cartilage_naive.all.tsv.gz",
"Steinberg_3_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Steinberg_2020/ge/Steinberg_2020_ge_synovium_naive.all.tsv.gz",
"Steinberg_3_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Steinberg_2020/tx/Steinberg_2020_tx_synovium_naive.all.tsv.gz",
"Quach_1_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Quach_2016/ge/Quach_2016_ge_monocyte_IAV.all.tsv.gz",
"Quach_1_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Quach_2016/tx/Quach_2016_tx_monocyte_IAV.all.tsv.gz",
"Quach_2_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Quach_2016/ge/Quach_2016_ge_monocyte_LPS.all.tsv.gz",
"Quach_2_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Quach_2016/tx/Quach_2016_tx_monocyte_LPS.all.tsv.gz",
"Quach_3_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Quach_2016/ge/Quach_2016_ge_monocyte_Pam3CSK4.all.tsv.gz",
"Quach_3_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Quach_2016/tx/Quach_2016_tx_monocyte_Pam3CSK4.all.tsv.gz",
"Quach_4_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Quach_2016/ge/Quach_2016_ge_monocyte_R848.all.tsv.gz",
"Quach_4_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Quach_2016/tx/Quach_2016_tx_monocyte_R848.all.tsv.gz",
"Quach_5_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Quach_2016/ge/Quach_2016_ge_monocyte_naive.all.tsv.gz",
"Quach_5_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Quach_2016/tx/Quach_2016_tx_monocyte_naive.all.tsv.gz",
"TwinsUK_1_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/TwinsUK/ge/TwinsUK_ge_LCL.all.tsv.gz",
"TwinsUK_1_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/TwinsUK/tx/TwinsUK_tx_LCL.all.tsv.gz",
"TwinsUK_2_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/TwinsUK/ge/TwinsUK_ge_blood.all.tsv.gz",
"TwinsUK_2_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/TwinsUK/tx/TwinsUK_tx_blood.all.tsv.gz",
"TwinsUK_3_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/TwinsUK/ge/TwinsUK_ge_fat.all.tsv.gz",
"TwinsUK_3_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/TwinsUK/tx/TwinsUK_tx_fat.all.tsv.gz",
"TwinsUK_4_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/TwinsUK/ge/TwinsUK_ge_skin.all.tsv.gz",
"TwinsUK_4_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/TwinsUK/tx/TwinsUK_tx_skin.all.tsv.gz",
"Young_ge":			"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Young_2019/ge/Young_2019_ge_microglia_naive.all.tsv.gz",
"Young_iu":			"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Young_2019/tx/Young_2019_tx_microglia_naive.all.tsv.gz",
"iPSCORE_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/iPSCORE/ge/iPSCORE_ge_iPSC.all.tsv.gz",
"iPSCORE_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/iPSCORE/tx/iPSCORE_tx_iPSC.all.tsv.gz",
"BrainSeq_ge": 		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/BrainSeq/ge/BrainSeq_ge_brain.all.tsv.gz",
"BrainSeq_iu": 		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/BrainSeq/tx/BrainSeq_tx_brain.all.tsv.gz",
"Nedelec_1_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Nedelec_2016/ge/Nedelec_2016_ge_macrophage_Listeria.all.tsv.gz",
"Nedelec_1_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Nedelec_2016/tx/Nedelec_2016_tx_macrophage_Listeria.all.tsv.gz",
"Nedelec_2_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Nedelec_2016/ge/Nedelec_2016_ge_macrophage_Salmonella.all.tsv.gz",
"Nedelec_2_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Nedelec_2016/tx/Nedelec_2016_tx_macrophage_Salmonella.all.tsv.gz",
"Nedelec_3_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Nedelec_2016/ge/Nedelec_2016_ge_macrophage_naive.all.tsv.gz",
"Nedelec_3_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Nedelec_2016/tx/Nedelec_2016_tx_macrophage_naive.all.tsv.gz",
"PhLiPS_1_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/PhLiPS/ge/PhLiPS_ge_HLC.all.tsv.gz",
"PhLiPS_1_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/PhLiPS/tx/PhLiPS_tx_HLC.all.tsv.gz",
"PhLiPS_2_ge":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/PhLiPS/ge/PhLiPS_ge_iPSC.all.tsv.gz",
"PhLiPS_2_iu":		"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/PhLiPS/tx/PhLiPS_tx_iPSC.all.tsv.gz",
"Schmiedel_1_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/ge/Schmiedel_2018_ge_B-cell_naive.all.tsv.gz",
"Schmiedel_1_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/tx/Schmiedel_2018_tx_B-cell_naive.all.tsv.gz",
"Schmiedel_2_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/ge/Schmiedel_2018_ge_CD4_T-cell_anti-CD3-CD28.all.tsv.gz",
"Schmiedel_2_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/tx/Schmiedel_2018_tx_CD4_T-cell_anti-CD3-CD28.all.tsv.gz",
"Schmiedel_3_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/ge/Schmiedel_2018_ge_CD4_T-cell_naive.all.tsv.gz",
"Schmiedel_3_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/tx/Schmiedel_2018_tx_CD4_T-cell_naive.all.tsv.gz",
"Schmiedel_4_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/ge/Schmiedel_2018_ge_CD8_T-cell_anti-CD3-CD28.all.tsv.gz",
"Schmiedel_4_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/tx/Schmiedel_2018_tx_CD8_T-cell_anti-CD3-CD28.all.tsv.gz",
"Schmiedel_5_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/ge/Schmiedel_2018_ge_CD8_T-cell_naive.all.tsv.gz",
"Schmiedel_5_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/tx/Schmiedel_2018_tx_CD8_T-cell_naive.all.tsv.gz",
"Schmiedel_6_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/ge/Schmiedel_2018_ge_NK-cell_naive.all.tsv.gz",
"Schmiedel_6_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/tx/Schmiedel_2018_tx_NK-cell_naive.all.tsv.gz",
"Schmiedel_7_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/ge/Schmiedel_2018_ge_Tfh_memory.all.tsv.gz",
"Schmiedel_7_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/tx/Schmiedel_2018_tx_Tfh_memory.all.tsv.gz",
"Schmiedel_8_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/ge/Schmiedel_2018_ge_Th1-17_memory.all.tsv.gz",
"Schmiedel_8_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/tx/Schmiedel_2018_tx_Th1-17_memory.all.tsv.gz",
"Schmiedel_9_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/ge/Schmiedel_2018_ge_Th17_memory.all.tsv.gz",
"Schmiedel_9_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/tx/Schmiedel_2018_tx_Th17_memory.all.tsv.gz",
"Schmiedel_10_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/ge/Schmiedel_2018_ge_Th1_memory.all.tsv.gz",
"Schmiedel_10_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/tx/Schmiedel_2018_tx_Th1_memory.all.tsv.gz",
"Schmiedel_11_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/ge/Schmiedel_2018_ge_Th2_memory.all.tsv.gz",
"Schmiedel_11_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/tx/Schmiedel_2018_tx_Th2_memory.all.tsv.gz",
"Schmiedel_12_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/ge/Schmiedel_2018_ge_Treg_memory.all.tsv.gz",
"Schmiedel_12_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/tx/Schmiedel_2018_tx_Treg_memory.all.tsv.gz",
"Schmiedel_13_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/ge/Schmiedel_2018_ge_Treg_naive.all.tsv.gz",
"Schmiedel_13_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/tx/Schmiedel_2018_tx_Treg_naive.all.tsv.gz",
"Schmiedel_14_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/ge/Schmiedel_2018_ge_monocyte_CD16_naive.all.tsv.gz",
"Schmiedel_14_iu":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/tx/Schmiedel_2018_tx_monocyte_CD16_naive.all.tsv.gz",
"Schmiedel_15_ge":	"/home/local/databases/ebi_eqtl_catalogue/pub/databases/spot/eQTL/sumstats/Schmiedel_2018/ge/Schmiedel_2018_ge_monocyte_naive.all.tsv.gz",
